Date,Long,Short,Total,% Long,% Short,Net Positions
7-Apr-26,"200,946","208,487","409,433",49%,51%,"-7,541"
31-Mar-26,"200,168","199,661","399,829",50%,50%,507
24-Mar-26,"200,025","190,746","390,771",51%,49%,"9,279"
17-Mar-26,"212,886","191,754","404,640",53%,47%,"21,132"
10-Mar-26,"265,686","160,542","426,228",62%,38%,"105,144"
3-Mar-26,"294,586","158,088","452,674",65%,35%,"136,498"
24-Feb-26,"294,873","138,017","432,890",68%,32%,"156,856"
17-Feb-26,"311,549","137,069","448,618",69%,31%,"174,480"
10-Feb-26,"318,704","138,399","457,103",70%,30%,"180,305"
3-Feb-26,"302,301","138,940","441,241",69%,31%,"163,361"
27-Jan-26,"290,336","158,202","448,538",65%,35%,"132,134"
20-Jan-26,"275,235","163,540","438,775",63%,37%,"111,695"
13-Jan-26,"283,592","150,936","434,528",65%,35%,"132,656"
6-Jan-26,"298,253","135,441","433,694",69%,31%,"162,812"
30-Dec-25,"294,738","137,273","432,011",68%,32%,"157,465"
23-Dec-25,"293,179","133,288","426,467",69%,31%,"159,891"
16-Dec-25,"277,002","132,099","409,101",68%,32%,"144,903"
9-Dec-25,"268,118","129,330","397,448",67%,33%,"138,788"
2-Dec-25,"249,672","141,219","390,891",64%,36%,"108,453"
25-Nov-25,"244,392","150,321","394,713",62%,38%,"94,071"
18-Nov-25,"243,961","144,954","388,915",63%,37%,"99,007"
10-Nov-25,"235,920","162,331","398,251",59%,41%,"73,589"
4-Nov-25,"252,542","160,747","413,289",61%,39%,"91,795"
28-Oct-25,"250,400","143,067","393,467",64%,36%,"107,333"
21-Oct-25,"244,507","132,755","377,262",65%,35%,"111,752"
14-Oct-25,"243,010","134,685","377,695",64%,36%,"108,325"
7-Oct-25,"255,907","137,542","393,449",65%,35%,"118,365"
30-Sep-25,"252,530","135,161","387,691",65%,35%,"117,369"
23-Sep-25,"252,472","138,127","390,599",65%,35%,"114,345"
16-Sep-25,"253,261","135,502","388,763",65%,35%,"117,759"
9-Sep-25,"258,049","132,372","390,421",66%,34%,"125,677"
2-Sep-25,"255,660","136,068","391,728",65%,35%,"119,592"
26-Aug-25,"258,386","135,347","393,733",66%,34%,"123,039"
19-Aug-25,"252,719","133,974","386,693",65%,35%,"118,745"
12-Aug-25,"246,299","130,868","377,167",65%,35%,"115,431"
5-Aug-25,"247,357","131,398","378,755",65%,35%,"115,959"
29-Jul-25,"248,841","125,482","374,323",66%,34%,"123,359"
22-Jul-25,"248,380","122,865","371,245",67%,33%,"125,515"
15-Jul-25,"242,096","113,875","355,971",68%,32%,"128,221"
8-Jul-25,"241,125","120,529","361,654",67%,33%,"120,596"
1-Jul-25,"224,979","117,442","342,421",66%,34%,"107,537"
24-Jun-25,"223,791","112,656","336,447",67%,33%,"111,135"
17-Jun-25,"220,811","119,258","340,069",65%,35%,"101,553"
10-Jun-25,"208,754","115,729","324,483",64%,36%,"93,025"
3-Jun-25,"202,786","120,022","322,808",63%,37%,"82,764"
27-May-25,"204,326","124,852","329,178",62%,38%,"79,474"
20-May-25,"206,042","131,589","337,631",61%,39%,"74,453"
13-May-25,"209,549","124,775","334,324",63%,37%,"84,774"
6-May-25,"194,192","118,473","312,665",62%,38%,"75,719"
29-Apr-25,"196,388","120,591","316,979",62%,38%,"75,797"
22-Apr-25,"196,205","131,177","327,382",60%,40%,"65,028"
15-Apr-25,"197,103","127,823","324,926",61%,39%,"69,280"
8-Apr-25,"190,296","130,316","320,612",59%,41%,"59,980"
1-Apr-25,"183,247","131,412","314,659",58%,42%,"51,835"
25-Mar-25,"189,796","124,271","314,067",60%,40%,"65,525"
18-Mar-25,"188,952","129,527","318,479",59%,41%,"59,425"
11-Mar-25,"188,647","175,557","364,204",52%,48%,"13,090"
4-Mar-25,"185,223","195,329","380,552",49%,51%,"-10,106"
25-Feb-25,"182,699","208,124","390,823",47%,53%,"-25,425"
18-Feb-25,"170,320","221,740","392,060",43%,57%,"-51,420"
11-Feb-25,"165,594","230,019","395,613",42%,58%,"-64,425"
4-Feb-25,"162,554","221,168","383,722",42%,58%,"-58,614"
28-Jan-25,"153,660","220,264","373,924",41%,59%,"-66,604"
21-Jan-25,"167,665","230,151","397,816",42%,58%,"-62,486"
14-Jan-25,"162,760","223,157","385,917",42%,58%,"-60,397"
7-Jan-25,"166,503","230,627","397,130",42%,58%,"-64,124"
31-Dec-24,"168,806","238,370","407,176",41%,59%,"-69,564"
24-Dec-24,"159,471","227,978","387,449",41%,59%,"-68,507"
17-Dec-24,"152,671","218,566","371,237",41%,59%,"-65,895"
10-Dec-24,"157,375","232,948","390,323",40%,60%,"-75,573"
3-Dec-24,"167,693","225,182","392,875",43%,57%,"-57,489"
26-Nov-24,"156,334","212,343","368,677",42%,58%,"-56,009"
19-Nov-24,"154,305","196,862","351,167",44%,56%,"-42,557"
12-Nov-24,"160,003","167,440","327,443",49%,51%,"-7,437"
5-Nov-24,"159,900","181,553","341,453",47%,53%,"-21,653"
29-Oct-24,"159,313","209,617","368,930",43%,57%,"-50,304"
22-Oct-24,"153,159","181,683","334,842",46%,54%,"-28,524"
15-Oct-24,"169,319","152,169","321,488",53%,47%,"17,150"
8-Oct-24,"173,866","134,768","308,634",56%,44%,"39,098"
1-Oct-24,"178,273","122,946","301,219",59%,41%,"55,327"
24-Sep-24,"187,795","116,097","303,892",62%,38%,"71,698"
17-Sep-24,"182,281","112,635","294,916",62%,38%,"69,646"
10-Sep-24,"192,821","111,388","304,209",63%,37%,"81,433"
3-Sep-24,"215,969","115,951","331,920",65%,35%,"100,018"
27-Aug-24,"218,381","125,543","343,924",63%,37%,"92,838"
20-Aug-24,"194,350","138,333","332,683",58%,42%,"56,017"
13-Aug-24,"182,212","155,229","337,441",54%,46%,"26,983"
6-Aug-24,"185,799","152,219","338,018",55%,45%,"33,580"
30-Jul-24,"183,006","165,207","348,213",53%,47%,"17,799"
23-Jul-24,"188,929","153,023","341,952",55%,45%,"35,906"
16-Jul-24,"179,937","155,188","335,125",54%,46%,"24,749"
9-Jul-24,"165,829","162,206","328,035",51%,49%,"3,623"
2-Jul-24,"164,369","173,888","338,257",49%,51%,"-9,519"
25-Jun-25,"167,370","175,801","343,171",49%,51%,"-8,431"
18-Jun-24,"171,464","163,513","334,977",51%,49%,"7,951"
11-Jun-24,"187,697","144,053","331,750",57%,43%,"43,644"
4-Jun-24,"188,957","121,087","310,044",61%,39%,"67,870"
28-May-24,"184,656","127,084","311,740",59%,41%,"57,572"
21-May-24,"182,574","141,099","323,673",56%,44%,"41,475"
14-May-24,"178,398","161,243","339,641",53%,47%,"17,155"
7-May-24,"170,594","166,004","336,598",51%,49%,"4,590"
30-Apr-24,"167,185","173,962","341,147",49%,51%,"-6,777"
23-Apr-24,"167,296","177,285","344,581",49%,51%,"-9,989"
16-Apr-24,"178,912","166,688","345,600",52%,48%,"12,224"
9-Apr-24,"175,419","142,696","318,115",55%,45%,"32,723"
2-Apr-24,"188,258","171,464","359,722",52%,48%,"16,794"
26-Mar-24,"180,193","148,999","329,192",55%,45%,"31,194"
19-Mar-24,"182,382","134,040","316,422",58%,42%,"48,342"
12-Mar-24,"193,998","119,591","313,589",62%,38%,"74,407"
5-Mar-24,"200,025","133,714","333,739",60%,40%,"66,311"
27-Feb-24,"205,234","142,380","347,614",59%,41%,"62,854"
20-Feb-24,"213,194","145,178","358,372",59%,41%,"68,016"
13-Feb-24,"210,848","158,010","368,858",57%,43%,"52,838"
6-Feb-24,"202,450","140,297","342,747",59%,41%,"62,153"
30-Jan-24,"200,360","111,589","311,949",64%,36%,"88,771"
23-Jan-24,"195,190","106,866","302,056",65%,35%,"88,324"
16-Jan-24,"204,294","100,202","304,496",67%,33%,"104,092"
9-Jan-24,"208,473","89,596","298,069",70%,30%,"118,877"
2-Jan-24,"211,912","92,436","304,348",70%,30%,"119,476"
26-Dec-23,"211,195","93,804","304,999",69%,31%,"117,391"
19-Dec-23,"208,078","93,486","301,564",69%,31%,"114,592"
12-Dec-23,"231,837","84,510","316,347",73%,27%,"147,327"
5-Dec-23,"235,684","83,324","319,008",74%,26%,"152,360"
28-Nov-23,"233,454","90,289","323,743",72%,28%,"143,165"
21-Nov-23,"231,095","101,441","332,536",69%,31%,"129,654"
14-Nov-23,"221,190","112,283","333,473",66%,34%,"108,907"
7-Nov-23,"212,483","123,427","335,910",63%,37%,"89,056"
31-Oct-23,"210,834","125,445","336,279",63%,37%,"85,389"
24-Oct-23,"215,569","130,316","345,885",62%,38%,"85,253"
17-Oct-23,"214,313","131,903","346,216",62%,38%,"82,410"
10-Oct-23,"207,522","131,990","339,512",61%,39%,"75,532"
3-Oct-23,"211,783","132,840","344,623",61%,39%,"78,943"
26-Sep-23,"211,516","113,117","324,633",65%,35%,"98,399"
19-Sep-23,"207,424","105,443","312,867",66%,34%,"101,981"
12-Sep-23,"212,376","99,296","311,672",68%,32%,"113,080"
5-Sep-23,"235,732","99,501","335,233",70%,30%,"136,231"
29-Aug-23,"230,542","83,863","314,405",73%,27%,"146,679"
22-Aug-23,"239,391","80,631","320,022",75%,25%,"158,760"
15-Aug-23,"232,466","72,603","305,069",76%,24%,"159,863"
8-Aug-23,"228,048","78,237","306,285",74%,26%,"149,811"
1-Aug-23,"240,074","68,012","308,086",78%,22%,"172,062"
25-Jul-23,"250,647","73,417","324,064",77%,23%,"177,230"
18-Jul-23,"264,514","85,682","350,196",76%,24%,"178,832"
11-Jul-23,"224,351","84,189","308,540",73%,27%,"140,162"
3-Jul-23,"221,272","78,435","299,707",74%,26%,"142,837"
27-Jun-23,"223,977","78,949","302,926",74%,26%,"145,028"
20-Jun-23,"229,399","84,750","314,149",73%,27%,"144,649"
13-Jun-23,"226,138","74,316","300,454",75%,25%,"151,822"
6-Jun-23,"236,060","77,639","313,699",75%,25%,"158,421"
30-May-23,"241,817","76,092","317,909",76%,24%,"165,725"
23-May-23,"250,070","76,334","326,404",77%,23%,"173,736"
16-May-23,"258,736","71,647","330,383",78%,22%,"187,089"
9-May-23,"260,335","80,913","341,248",76%,24%,"179,422"
2-May-23,"246,832","73,343","320,175",77%,23%,"173,489"
25-Apr-23,"243,516","74,116","317,632",77%,23%,"169,400"
18-Apr-23,"242,369","78,008","320,377",76%,24%,"164,361"
11-Apr-23,"244,180","80,842","325,022",75%,25%,"163,338"
4-Apr-23,"225,416","82,023","307,439",73%,27%,"143,393"
28-Mar-23,"222,918","77,893","300,811",74%,26%,"145,025"
21-Mar-23,"215,825","70,983","286,808",75%,25%,"144,842"
14-Mar-23,"222,313","82,357","304,670",73%,27%,"139,956"
7-Mar-23,"233,880","85,432","319,312",73%,27%,"148,448"
28-Feb-23,"240,766","78,567","319,333",75%,25%,"162,199"
21-Feb-23,"236,414","71,346","307,760",77%,23%,"165,068"
14-Feb-23,"236,574","72,668","309,242",77%,23%,"163,906"
7-Feb-23,"238,338","73,300","311,638",76%,24%,"165,038"
31-Jan-23,"246,755","96,246","343,001",72%,28%,"150,509"
24-Jan-23,"237,743","103,394","341,137",70%,30%,"134,349"
17-Jan-23,"228,279","101,295","329,574",69%,31%,"126,984"
10-Jan-23,"238,623","103,641","342,264",70%,30%,"134,982"
3-Jan-23,"222,543","92,628","315,171",71%,29%,"129,915"
27-Dec-22,"251,887","105,725","357,612",70%,30%,"146,162"
20-Dec-22,"249,149","106,877","356,026",70%,30%,"142,272"
13-Dec-22,"236,415","111,700","348,115",68%,32%,"124,715"
6-Dec-22,"245,063","120,180","365,243",67%,33%,"124,883"
29-Nov-22,"241,122","118,875","359,997",67%,33%,"122,247"
22-Nov-22,"239,598","116,486","356,084",67%,33%,"123,112"
15-Nov-22,"239,369","126,703","366,072",65%,35%,"112,666"
8-Nov-22,"232,317","124,718","357,035",65%,35%,"107,599"
1-Nov-22,"239,770","133,980","373,750",64%,36%,"105,790"
25-Oct-22,"226,734","151,825","378,559",60%,40%,"74,909"
18-Oct-22,"202,703","154,553","357,256",57%,43%,"48,150"
11-Oct-22,"196,136","158,637","354,773",55%,45%,"37,499"
4-Oct-22,"199,391","155,709","355,100",56%,44%,"43,682"
27-Sep-22,"208,736","174,939","383,675",54%,46%,"33,797"
20-Sep-22,"206,564","173,115","379,679",54%,46%,"33,449"
13-Sep-22,"207,778","219,615","427,393",49%,51%,"-11,837"
6-Sep-22,"205,277","241,626","446,903",46%,54%,"-36,349"
30-Aug-22,"202,258","249,934","452,192",45%,55%,"-47,676"
23-Aug-22,"210,825","254,934","465,759",45%,55%,"-44,109"
16-Aug-22,"199,226","242,010","441,236",45%,55%,"-42,784"
9-Aug-22,"200,088","234,624","434,712",46%,54%,"-34,536"
2-Aug-22,"191,692","230,503","422,195",45%,55%,"-38,811"
26-Jul-22,"198,041","239,625","437,666",45%,55%,"-41,584"
19-Jul-22,"195,875","238,620","434,495",45%,55%,"-42,745"
12-Jul-22,"197,240","222,484","419,724",47%,53%,"-25,244"
5-Jul-22,"197,138","213,990","411,128",48%,52%,"-16,852"
28-Jun-22,"189,414","200,010","389,424",49%,51%,"-10,596"
21-Jun-22,"195,554","211,159","406,713",48%,52%,"-15,605"
14-Jun-22,"206,986","213,004","419,990",49%,51%,"-6,018"
7-Jun-22,"230,248","179,705","409,953",56%,44%,"50,543"
31-May-22,"236,553","184,281","420,834",56%,44%,"52,272"
24-May-22,"237,072","198,142","435,214",54%,46%,"38,930"
17-May-22,"230,770","210,431","441,201",52%,48%,"20,339"
10-May-22,"228,230","211,701","439,931",52%,48%,"16,529"
3-May-22,"208,449","214,827","423,276",49%,51%,"-6,378"
26-Apr-22,"222,993","200,792","423,785",53%,47%,"22,201"
19-Apr-22,"221,003","189,702","410,705",54%,46%,"31,301"
12-Apr-22,"221,645","182,585","404,230",55%,45%,"39,060"
5-Apr-22,"210,914","183,544","394,458",53%,47%,"27,370"
29-Mar-22,"200,043","178,669","378,712",53%,47%,"21,374"
22-Mar-22,"207,051","183,208","390,259",53%,47%,"23,843"
15-Mar-22,"202,040","183,246","385,286",52%,48%,"18,794"
8-Mar-22,"242,683","183,839","426,522",57%,43%,"58,844"
1-Mar-22,"228,385","163,446","391,831",58%,42%,"64,939"
22-Feb-22,"214,195","154,889","369,084",58%,42%,"59,306"
15-Feb-22,"217,899","170,318","388,217",56%,44%,"47,581"
8-Feb-22,"218,973","180,131","399,104",55%,45%,"38,842"
1-Feb-22,"213,563","183,847","397,410",54%,46%,"29,716"
25-Jan-22,"213,408","181,848","395,256",54%,46%,"31,560"
18-Jan-22,"211,901","187,317","399,218",53%,47%,"24,584"
11-Jan-22,"204,361","198,356","402,717",51%,49%,"6,005"
4-Jan-22,"199,073","200,627","399,700",50%,50%,"-1,554"
28-Dec-21,"198,617","205,251","403,868",49%,51%,"-6,634"
21-Dec-21,"196,595","206,757","403,352",49%,51%,"-10,162"
14-Dec-21,"189,530","201,409","390,939",48%,52%,"-11,879"
7-Dec-21,"194,869","203,168","398,037",49%,51%,"-8,299"
30-Nov-21,"191,048","214,288","405,336",47%,53%,"-23,240"
23-Nov-21,"204,214","220,666","424,880",48%,52%,"-16,452"
16-Nov-21,"198,181","202,007","400,188",50%,50%,"-3,826"
9-Nov-21,"192,544","188,771","381,315",50%,50%,"3,773"
2-Nov-21,"191,496","197,634","389,130",49%,51%,"-6,138"
26-Oct-21,"196,880","208,136","405,016",49%,51%,"-11,256"
19-Oct-21,"193,320","205,427","398,747",48%,52%,"-12,107"
12-Oct-21,"202,512","220,910","423,422",48%,52%,"-18,398"
5-Oct-21,"196,819","219,153","415,972",47%,53%,"-22,334"
28-Sep-21,"195,043","194,171","389,214",50%,50%,872
21-Sep-21,"189,406","177,311","366,717",52%,48%,"12,095"
14-Sep-21,"186,554","158,749","345,303",54%,46%,"27,805"
7-Sep-21,"189,904","163,596","353,500",54%,46%,"26,308"
31-Aug-21,"190,593","180,117","370,710",51%,49%,"10,476"
24-Aug-21,"194,169","169,539","363,708",53%,47%,"24,630"
17-Aug-21,"233,529","175,889","409,418",57%,43%,"57,640"
10-Aug-21,"212,809","178,952","391,761",54%,46%,"33,857"
3-Aug-21,"199,067","161,060","360,127",55%,45%,"38,007"
27-Jul-21,"202,245","164,119","366,364",55%,45%,"38,126"
20-Jul-21,"208,669","162,847","371,516",56%,44%,"45,822"
13-Jul-21,"212,851","153,138","365,989",58%,42%,"59,713"
6-Jul-21,"212,998","135,808","348,806",61%,39%,"77,190"
29-Jun-21,"209,058","121,912","330,970",63%,37%,"87,146"
22-Jun-21,"207,863","118,806","326,669",64%,36%,"89,057"
15-Jun-21,"210,816","92,630","303,446",69%,31%,"118,186"
8-Jun-21,"232,103","124,890","356,993",65%,35%,"107,213"
1-Jun-21,"237,360","128,038","365,398",65%,35%,"109,322"
25-May-21,"236,103","132,103","368,206",64%,36%,"104,000"
18-May-21,"232,330","132,472","364,802",64%,36%,"99,858"
11-May-21,"223,387","129,480","352,867",63%,37%,"93,907"
4-May-21,"206,472","121,643","328,115",63%,37%,"84,829"
27-Apr-21,"200,415","119,448","319,863",63%,37%,"80,967"
20-Apr-21,"197,137","116,329","313,466",63%,37%,"80,808"
13-Apr-21,"190,640","123,789","314,429",61%,39%,"66,851"
6-Apr-21,"192,230","124,708","316,938",61%,39%,"67,522"
30-Mar-21,"194,763","121,024","315,787",62%,38%,"73,739"
23-Mar-21,"195,500","102,178","297,678",66%,34%,"93,322"
16-Mar-21,"195,857","105,881","301,738",65%,35%,"89,976"
9-Mar-21,"207,588","105,624","313,212",66%,34%,"101,964"
2-Mar-21,"222,655","96,667","319,322",70%,30%,"125,988"
23-Feb-21,"228,501","90,136","318,637",72%,28%,"138,365"
16-Feb-21,"222,895","82,889","305,784",73%,27%,"140,006"
9-Feb-21,"220,943","80,721","301,664",73%,27%,"140,222"
2-Feb-21,"216,887","79,884","296,771",73%,27%,"137,003"
26-Jan-21,"238,099","72,755","310,854",77%,23%,"165,344"
19-Jan-21,"236,533","73,067","309,600",76%,24%,"163,466"
12-Jan-21,"228,757","72,867","301,624",76%,24%,"155,890"
5-Jan-21,"224,832","81,841","306,673",73%,27%,"142,991"
29-Dec-20,"222,848","79,772","302,620",74%,26%,"143,076"
21-Dec-20,"222,443","78,541","300,984",74%,26%,"143,902"
15-Dec-20,"218,710","76,877","295,587",74%,26%,"141,833"
8-Dec-20,"222,521","66,092","288,613",77%,23%,"156,429"
1-Dec-20,"207,302","67,408","274,710",75%,25%,"139,894"
24-Nov-20,"206,354","68,104","274,458",75%,25%,"138,250"
17-Nov-20,"203,551","69,591","273,142",75%,25%,"133,960"
10-Nov-20,"202,374","67,087","269,461",75%,25%,"135,287"
3-Nov-20,"208,237","67,888","276,125",75%,25%,"140,349"
27-Oct-20,"217,443","61,888","279,331",78%,22%,"155,555"
20-Oct-20,"229,878","63,935","293,813",78%,22%,"165,943"
13-Oct-20,"228,295","59,658","287,953",79%,21%,"168,637"
6-Oct-20,"231,369","57,061","288,430",80%,20%,"174,308"
29-Sep-20,"241,967","53,851","295,818",82%,18%,"188,116"
22-Sep-20,"247,049","56,227","303,276",81%,19%,"190,822"
15-Sep-20,"230,695","52,119","282,814",82%,18%,"178,576"
8-Sep-20,"248,683","51,869","300,552",83%,17%,"196,814"
1-Sep-20,"250,867","54,120","304,987",82%,18%,"196,747"
25-Aug-20,"262,061","50,309","312,370",84%,16%,"211,752"
18-Aug-20,"259,244","62,301","321,545",81%,19%,"196,943"
11-Aug-20,"266,078","66,327","332,405",80%,20%,"199,751"
4-Aug-20,"262,109","81,461","343,570",76%,24%,"180,648"
28-Jul-20,"242,127","84,568","326,695",74%,26%,"157,559"
21-Jul-20,"204,185","79,138","283,323",72%,28%,"125,047"
14-Jul-20,"194,252","83,340","277,592",70%,30%,"110,912"
