Date,Price,Open,High,Low,Change %
2016-05-01,1.1405,1.1447,1.1617,1.1387,-0.45
2016-05-08,1.1308,1.1402,1.1449,1.1284,-0.85
2016-05-15,1.1224,1.1309,1.1349,1.118,-0.74
2016-05-22,1.1115,1.1216,1.1244,1.1107,-0.97
2016-05-29,1.1367,1.1116,1.1377,1.1098,2.27
2016-06-05,1.1251,1.1351,1.1417,1.1245,-1.02
2016-06-12,1.1277,1.1254,1.1305,1.1132,0.23
2016-06-19,1.1117,1.1283,1.1434,1.0911,-1.42
2016-06-26,1.1136,1.1069,1.1169,1.0969,0.17
2016-07-03,1.1055,1.1142,1.1185,1.1001,-0.73
2016-07-10,1.1036,1.1052,1.1166,1.1016,-0.17
2016-07-17,1.0976,1.1042,1.1087,1.0954,-0.54
2016-07-24,1.1174,1.0972,1.12,1.0954,1.8
2016-07-31,1.1085,1.1174,1.1234,1.1043,-0.8
2016-08-07,1.1161,1.1088,1.1224,1.107,0.69
2016-08-14,1.1326,1.1162,1.1366,1.1153,1.48
2016-08-21,1.1198,1.1305,1.1357,1.118,-1.13
2016-08-28,1.1156,1.1194,1.1254,1.1124,-0.38
2016-09-04,1.1233,1.1153,1.1329,1.114,0.69
2016-09-11,1.1155,1.1232,1.1285,1.1147,-0.69
2016-09-18,1.1226,1.1164,1.1261,1.1123,0.64
2016-09-25,1.1241,1.1224,1.1281,1.1153,0.13
2016-10-02,1.1201,1.1235,1.1245,1.1103,-0.36
2016-10-09,1.0971,1.1197,1.1203,1.0968,-2.05
2016-10-16,1.0884,1.0974,1.1041,1.0859,-0.79
2016-10-23,1.0987,1.088,1.0995,1.0852,0.95
2016-10-30,1.1138,1.0987,1.1146,1.0937,1.37
2016-11-06,1.0856,1.114,1.1305,1.0833,-2.53
2016-11-13,1.0588,1.085,1.0852,1.057,-2.47
2016-11-20,1.0587,1.0584,1.0661,1.0518,-0.01
2016-11-27,1.0673,1.0596,1.0692,1.0554,0.81
2016-12-04,1.0562,1.0675,1.0875,1.0506,-1.04
2016-12-11,1.0451,1.0554,1.0673,1.0368,-1.05
2016-12-18,1.0456,1.0445,1.0501,1.0353,0.05
2016-12-25,1.0516,1.0454,1.0654,1.0372,0.57
2017-01-01,1.0533,1.0532,1.0624,1.0342,0.16
2017-01-08,1.0644,1.054,1.0687,1.0455,1.05
2017-01-15,1.0703,1.0619,1.0722,1.0581,0.55
2017-01-22,1.0699,1.0688,1.0779,1.066,-0.04
2017-01-29,1.0784,1.0692,1.0831,1.062,0.79
2017-02-05,1.0641,1.0783,1.0803,1.0609,-1.33
2017-02-12,1.0614,1.0635,1.0683,1.0523,-0.25
2017-02-19,1.0563,1.0617,1.0636,1.0495,-0.48
2017-02-26,1.0623,1.0563,1.0633,1.0495,0.57
2017-03-05,1.0672,1.0617,1.0702,1.0526,0.46
2017-03-12,1.0736,1.0674,1.0783,1.0599,0.6
2017-03-19,1.0797,1.0739,1.0826,1.0718,0.57
2017-03-26,1.0649,1.0797,1.0905,1.0651,-1.37
2017-04-02,1.0588,1.0661,1.069,1.058,-0.57
2017-04-09,1.0609,1.0592,1.0678,1.0569,0.2
2017-04-16,1.0726,1.0615,1.0778,1.0602,1.1
